956,-206
316,-701
1238,-118
606,-400
585,-73
82,-8
751,-411
366,-624
1002,-670
1108,-519
882,-204
36,-113
1118,-437
1073,-80
368,-27
524,-44
19,-205
587,-715
889,-65
1083,-431
1166,-542
1184,-86
1234,-637
1064,-146
1189,-254
981,-377
98,-649
806,-362
1018,-41
608,-446
319,-210
772,-103
1185,-144
463,-5
735,-110
194,-676
679,-691
828,-539
729,-324
727,-294
623,-105
847,-147
425,-274
1124,-245
624,-135
1107,-364
236,-621
1182,-670
378,-190
30,-491
1021,-380
1134,-449
1088,-183
885,-387
1069,-603
83,-78
5,-391
25,-528
586,-94
961,-14
12,-265
842,-550
1066,-144
1162,-389
508,-418
1081,-685
1147,-699
819,-408
201,-397
520,-374
873,-235
134,-31
491,-32
879,-332
240,-172
1054,-398
898,-175
1018,-94
91,-135
886,-214
1032,-528
1116,-64
1024,-264
220,-474
243,-44
400,-638
145,-677
486,-94
1015,-459
843,-180
52,-700
217,-29
485,-216
627,-632
294,-225
415,-476
188,-547
792,-276
875,-177
408,-511
1209,-584
769,-672
359,-210
1111,-13
776,-220
383,-507
420,-146
61,-308
5,-337
545,-22
1054,-372
1017,-260
621,-82
1256,-243
1111,-36
1271,-169
961,-276
1238,-160
1079,-543
1240,-271
118,-534
15,-70
851,-393
90,-63
339,-606
414,-270
345,-706
1077,-378
272,-569
1272,-659
1056,-520
1187,-136
922,-633
1237,-455
500,-660
1106,-712
727,-202
431,-200
1244,-672
149,-655
879,-110
728,-453
1244,-547
193,-702
190,-491
586,-171
1131,-100
584,-130
565,-497
551,-705
444,-685
143,-255
1132,-257
548,-690
1094,-598
410,-531
68,-566
656,-704
214,-77
13,-585
681,-265
10,-320
348,-616
1009,-407
1160,-167
899,-708
545,-465
252,-91
185,-548
460,-114
354,-87
947,-69
472,-252
213,-290
1119,-30
1074,-589
693,-609
1104,-29
663,-82
1173,-20
180,-233
1270,-640
1061,-625
795,-206
335,-435
298,-414
679,-74
275,-453
724,-335
1,-181
236,-403
838,-430
1160,-154
1042,-597
165,-217
394,-569
94,-229
144,-401
972,-113
307,-192
1166,-412
124,-142
504,-192
428,-287
492,-173
163,-645
697,-410
425,-211
1145,-284
1277,-459
942,-547
848,-496
7,-535
122,-95
859,-2
528,-566
925,-678
1010,-402
955,-367
1181,-192
1052,-380
965,-375
56,-549
1084,-1
606,-414
439,-91
35,-671
1103,-605
1068,-251
713,-263
168,-291
1249,-393
646,-263
508,-473
712,-487
296,-566
327,-415
1179,-102
1193,-14
215,-516
779,-618
1140,-202
1001,-112
904,-380
1151,-229
538,-67
240,-17
731,-471
97,-523
1058,-158
754,-307
775,-61
1209,-340
592,-180
1176,-74
605,-25
76,-137
80,-238
125,-671
521,-551
393,-617
35,-80
827,-314
1098,-428
491,-508
750,-231
941,-527
284,-607
869,-333
190,-209
172,-227
555,-185
331,-558
1111,-19
434,-301
417,-92
242,-83
124,-435
842,-113
730,-410
405,-94
391,-670
689,-221
1203,-114
772,-185
348,-81
12,-168
1261,-570
718,-262
471,-58
858,-119
1076,-585
384,-694
157,-605
328,-161
86,-24
1272,-402
500,-506
1009,-276
840,-174
42,-345
179,-389
264,-241
1054,-429
522,-79
335,-152
642,-38
613,-268
580,-5
1010,-529
608,-523
1089,-88
1047,-376
1067,-237
909,-696
232,-211
456,-538
1251,-371
326,-298
755,-215
783,-304
713,-491
822,-264
260,-522
453,-39
56,-350
1217,-55
891,-666
680,-96
1078,-204
413,-493
853,-182
836,-339
1043,-161
431,-609
662,-704
502,-572
1139,0
1073,-328
176,-499
1096,-280
1257,-154
463,-5
651,-413
0,-191
650,-18
254,-311
488,-460
742,-237
954,-518
891,-685
680,-570
1207,-642
99,-662
383,-223
775,-76
1149,-183
1158,-239
84,-645
832,-689
795,-314
914,-621
2,-271
858,-560
308,-571
614,-373
845,-351
592,-231
1163,-101
568,-622
292,-164
308,-67
982,-9
1245,-122
1148,-175
116,-640
1129,-712
1078,-490
822,-320
1264,-188
927,-164
406,-389
655,-397
330,-371
181,-713
92,-673
852,-576
919,-350
115,-429
313,-582
1133,-639
617,-503
903,-442
1011,-483
123,-487
263,-371
620,-651
1254,-321
808,-277
1162,-648
1015,-31
92,-461
57,-206
386,-381
909,-450
1095,-226
1234,-98
1250,-468
446,-503
1250,-315
1085,-185
300,-289
22,-96
229,-257
769,-710
805,-474
18,-78
1055,-145
80,-160
1022,-415
188,-345
1034,-453
498,-588
527,-112
567,-38
1042,-593
918,-422
935,-43
686,-484
1265,-109
796,-668
1228,-127
605,-528
486,-614
444,-457
383,-114
589,-54
880,-102
903,-429
577,-674
169,-90
555,-707
207,-69
598,-70
929,-218
751,-382
1202,-658
298,-541
546,-289
1089,-350
92,-221
246,-157
736,-47
534,-183
960,-405
968,-70
990,-16
1021,-83
446,-91
206,-582
1066,-553
583,-397
428,-618
139,-256
769,-46
694,-125
320,-214
591,-48
324,-717
92,-700
1230,-508
286,-16
70,-569
935,-137
752,-528
834,-116
634,-189
256,-65
270,-627
1271,-30
1167,-182
644,-686
405,-597
352,-10
813,-186
122,-225
639,-380
141,-170
1200,-38
923,-546
96,-510
515,-530
1177,-357
985,-555
1177,-383
775,-56
1231,-318
306,-605
464,-435
1271,-536
536,-380
674,-527
578,-248
1097,-640
544,-367
1151,-6
164,-516
12,-337
569,-268
373,-369
77,-223
862,-359
278,-100
1232,-98
621,-75
247,-242
174,-702
1186,-563
284,-2
820,-224
1146,-19
1054,-135
40,-332
606,-194
470,-440
830,-128
21,-313
646,-363
907,-415
535,-115
173,-330
682,-64
1102,-435
88,-396
1247,-187
1198,-679
521,-152
817,-647
742,-68
857,-209
1268,-197
568,-325
388,-239
944,-276
445,-214
98,-1
659,-714
1118,-454
279,-252
1226,-304
339,-55
463,-111
1251,-229
707,-627
1249,-481
1189,-39
137,-502
855,-640
1061,-682
10,-260
268,-62
933,-273
187,-306
1266,-703
364,-378
375,-273
1172,-491
1252,-585
1083,-257
1155,-278
530,-417
44,-155
296,-372
1189,-285
263,-617
622,-62
592,-507
367,-394
135,-241
795,-53
1051,-310
1094,-240
204,-587
752,-272
990,-450
451,-494
932,-413
648,-111
702,-188
394,-385
34,-248
539,-77
952,-405
719,-25
248,-497
229,-251
853,-26
1134,-142
901,-580
355,-639
1143,-543
904,-144
384,-476
438,-16
145,-562
998,-76
540,-53
819,-61
516,-582
679,-497
452,-49
101,-197
1160,-276
3,-518
1234,-21
222,-350
923,-141
390,-368
937,-348
1025,-271
533,-124
655,-369
199,-613
991,-302
318,-403
792,-611
704,-701
1268,-496
890,-150
854,-188
1176,-105
907,-673
725,-477
406,-462
96,-466
131,-241
535,-140
467,-420
563,-263
1266,-88
473,-249
1232,-206
478,-570
1242,-291
339,-266
1220,-623
707,-158
529,-472
436,-668
630,-107
543,-226
557,-221
1255,-89
1160,-682
852,-120
375,-480
685,-170
733,-603
453,-557
218,-560
116,-675
1155,-409
491,-532
839,-478
595,-422
387,-457
284,-107
1276,-184
1062,-716
203,-320
884,-692
1039,-430
844,-143
1099,-125
945,-210
576,-16
952,-387
723,-661
1207,-451
886,-66
621,-604
793,-467
833,-164
263,-245
432,-644
1108,-289
651,-364
607,-694
123,-497
541,-264
138,-608
574,-282
416,-473
1128,-490
1196,-22
1227,-579
643,-16
536,-641
580,-297
476,-607
1200,-329
571,-415
760,-214
208,-259
716,-360
1005,-52
520,-485
912,-134
454,-702
278,-29
108,-158
820,-118
858,-157
1087,-630
495,-485
735,-554
386,-622
742,-179
948,-336
848,-109
230,-566
610,-647
911,-716
1157,-686
1231,-518
864,-99
1146,-585
533,-375
690,-200
389,-296
1020,-342
358,-237
797,-519
290,-409
865,-420
779,-684
277,-36
956,-510
553,-272
202,-651
895,-87
100,-363
58,-453
229,-448
240,-702
588,-659
411,-530
602,-690
949,-570
485,-163
184,-109
692,-627
1190,-398
1124,-530
1252,-271
616,-191
193,-94
1241,-14
901,-703
154,-96
1257,-155
525,-620
510,-397
1196,-548
370,-379
602,-134
124,-512
568,-667
773,-472
333,-596
1036,-503
1266,-323
919,-151
1177,-401
60,-549
945,-238
751,-206
447,-693
956,-43
361,-56
385,-508
523,-155
205,-153
1037,-418
333,-456
1068,-170
63,-647
186,-4
1095,-102
242,-186
535,-169
538,-281
258,-402
271,-605
1134,-275
216,-632
793,-127
275,-503
436,-375
513,-42
544,-285
317,-530
625,-356
532,-256
644,-588
961,-493
957,-145
1047,-31
1063,-565
551,-500
906,-163
95,-455
88,-138
824,-647
550,-109
664,-555
628,-635
841,-129
884,-482
584,-84
811,-16
469,-172
1093,-39
1251,-579
959,-553
1190,-485
1138,-313
594,-36
1087,-30
1274,-605
701,-382
647,-698
452,-590
218,-37
1237,-490
1090,-322
215,-195
197,-245
604,-304
39,-707
857,-560
1135,-190
985,-325
179,-612
363,-261
739,-620
870,-407
349,-616
634,-48
401,-558
300,-115
439,-490
859,-536
462,-692
821,-219
844,-434
553,-549
180,-353
172,-486
961,-309
1234,-416
1124,-170
364,-53
836,-518
60,-77
977,-154
78,-478
352,-4
345,-369
641,-24
569,-420
866,-439
733,-48
1189,-675
119,-229
372,-67
279,-445
168,-638
1241,-588
794,-434
725,-645
757,-18
16,-415
987,-301
652,-465
792,-537
751,-287
274,-541
827,-553
1062,-357
958,-174
1250,-416
139,-193
622,-646
920,-197
345,-135
961,-637
510,-31
1243,-329
514,-198
306,-657
913,-140
130,-459
523,-415
303,-392
962,-610
897,-520
338,-679
723,-266
541,-647
927,-606
781,-284
424,-632
338,-715
476,-355
1080,-394
944,-340
24,-309
814,-570
344,-192
887,-319
787,-287
1203,-122
180,-365
46,-560
1267,-204
393,-712
746,-178
352,-512
484,-505
618,-481
798,-364
654,-594
658,-168
64,-335
112,-400
325,-632
576,-268
907,-367
709,-317
1104,-429
91,-602
39,-279
312,-691
1018,-660
427,-706
232,-520
1150,-341
113,-198
